Date,Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss
4/5/2023,Group stage,Away,W,3,1,pe Sporting Cristal,4,0.4,56
4/18/2023,Group stage,Home,W,1,0,bo The Strongest,2.1,0,76
5/2/2023,Group stage,Home,W,5,1,ar River Plate,3.4,0.8,55
5/25/2023,Group stage,Away,L,0,1,bo The Strongest,0.4,2.1,58
6/7/2023,Group stage,Away,L,0,2,ar River Plate,0.7,2.2,54
6/27/2023,Group stage,Home,D,1,1,pe Sporting Cristal,0.6,0.6,61
8/1/2023,Round of 16,Away,D,1,1,ar Arg Juniors,0.3,0.8,53
8/8/2023,Round of 16,Home,W,2,0,ar Arg Juniors,1.1,0.1,66
8/24/2023,Quarter-finals,Home,W,2,0,py Olimpia,1.5,0.1,69
8/31/2023,Quarter-finals,Away,W,3,1,py Olimpia,1.8,1.2,51
9/27/2023,Semi-finals,Home,D,2,2,br Internacional,1.3,0.9,54
10/4/2023,Semi-finals,Away,W,2,1,br Internacional,0.5,1.4,65
11/4/2023,Final,Away,W,2,1,ar Boca Juniors,0.8,0.5,53
