,Date,Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Team,xG_cum
0,2025-04-03,Group stage,Away,W,3,2,Sporting Cristal,3.4,0.9,60.0,Palmeiras,3.4
1,2025-04-09,Group stage,Home,W,1,0,Cerro Porteño,3.0,0.2,57.0,Palmeiras,6.4
2,2025-04-24,Group stage,Away,W,3,2,Bolivar,2.5,1.5,25.0,Palmeiras,8.9
3,2025-05-07,Group stage,Away,W,2,0,Cerro Porteño,1.6,0.7,54.0,Palmeiras,10.5
4,2025-05-15,Group stage,Home,W,2,0,Bolivar,1.4,0.2,51.0,Palmeiras,11.9
5,2025-05-28,Group stage,Home,W,6,0,Sporting Cristal,2.7,0.2,53.0,Palmeiras,14.600000000000001
6,2025-08-14,Round of 16,Away,W,4,0,Universitario,3.0,0.7,52.0,Palmeiras,17.6
7,2025-08-21,Round of 16,Home,D,0,0,Universitario,0.9,0.7,65.0,Palmeiras,18.5
8,2025-09-17,Quarter-finals,Away,W,2,1,River Plate,0.9,0.6,34.0,Palmeiras,19.4
9,2025-09-24,Quarter-finals,Home,W,3,1,River Plate,2.0,0.7,57.0,Palmeiras,21.4
10,2025-10-23,Semi-Finals,Away,L,0,3,LDU,1.5,2.0,42.0,Palmeiras,22.9
11,2025-10-30,Semi-Finals,Home,W,4,0,LDU,3.7,0.4,63.0,Palmeiras,26.599999999999998
